"Name (English)","Region of Focus","Language","Entity owner (English)","Parent entity (English)","Instagram page","Instagram URL","Instagram Follower #"
"China.org.cn (French)","la Francophonie","French","China International Communications Group (CICG)","Central Publicity Department","china.org.cn_fr","https://www.instagram.com/china.org.cn_fr/",4222
"China.org.cn (English)","Anglosphere","English","China International Communications Group (CICG)","Central Publicity Department","chinaorgcnnews","https://www.instagram.com/chinaorgcnnews/",103
"Chloé Zhou","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","chloezhou21","https://www.instagram.com/chloezhou21/",1668
"Xu Zhike (Coco Studio)","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","cocostudioenchine","https://www.instagram.com/cocostudioenchine/",4256
"Chinese Consulate General in San Francisco","USA","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chineseconsulate","https://www.instagram.com/chineseconsulate/",462
"CRI Türkçe","Türkiye","Turkish","China Media Group (CMG)","Central Publicity Department","criturkish","https://www.instagram.com/criturkish/",56500
"CRI Français","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","cri_francais","https://www.instagram.com/cri_francais/",11000
"China State Construction (CSCEC)","Anglosphere","English","China State Construction Engineering (CSCEC)","State Council","china_state_construction","https://www.instagram.com/china_state_construction/",34400
"Zhu Danni (Danni Zhu)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","iamdanni131","https://www.instagram.com/iamdanni131/",54
"Wang Di'er (Deer Wang)","Anglosphere","English","Xinhua News Agency","State Council","w.dier","https://www.instagram.com/w.dier/",139
"Discover Guangxi","Anglosphere","English","Department of Culture and Tourism of Guangxi Zhuang Autonomous Region","People's Government of Guangxi Zhuang Autonomous Region","discover_guangxi","https://www.instagram.com/discover_guangxi/",2009
"Discover Jilin","Anglosphere","English","Department of Culture and Tourism of Jilin Province","Jilin Provincial People's Government","discoverjilin","https://www.instagram.com/discoverjilin/",42700
"Discover Zhejiang","Anglosphere","English","Department of Culture and Tourism of Zhejiang Province","People's Government of Zhejiang Province","discoverzhejiang","https://www.instagram.com/discoverzhejiang/",76200
"Li Dongning","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","dongningli","https://www.instagram.com/dongningli/",87
"Chinese Embassy in Brazil","Brazil","Portuguese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","embaixadachina","https://www.instagram.com/embaixadachina/",120000
"Wang Xin (Fayhaa Wang)","Egypt","Arabic","China Media Group (CMG)","Central Publicity Department","fayhaa_china","https://www.instagram.com/fayhaa_china/",15900
"Xinhua Fly Over China","Anglosphere","English","Xinhua News Agency","State Council","FlyOverChina","https://www.instagram.com/FlyOverChina/",271000
"Yin Yue (Gabriel Y. Yin)","China","Chinese","China Media Group (CMG)","Central Publicity Department","gabrielyyin","https://instagram.com/gabrielyyin",1883
"Guan Xin","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","guanxin0411","https://www.instagram.com/guanxin0411/",684
"Gwadar Pro","Pakistan","Urdu","China Media Group (CMG)","Central Publicity Department","gwadarpro","https://www.instagram.com/gwadarpro/",159
"Haiwai Net (US Fusion Center)","USA","English","People's Daily Press","Central Committee of the Chinese Communist Party","haiwainet.us","https://www.instagram.com/haiwainet.us/",21800
"Henan TV","Henan","Chinese","Henan Broadcasting System","Henan Provincial Committee","henantv","https://www.instagram.com/henantv/",547
"iChongqing","Chongqing","English","Chongqing International Communication Center","Chongqing Municipal Committee","iChongqing.info","https://www.instagram.com/iChongqing.info/",11500
"Discover China","Anglosphere","English","China International Communications Group (CICG)","Central Publicity Department","idiscoverchina","https://www.instagram.com/idiscoverchina/",69500
"Zhang Qitong (QiTong Channel / Цитун Чжан)","Russia","Russian","China Media Group (CMG)","Central Publicity Department","imqitong","https://www.instagram.com/imqitong/",708
